table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,C,0,1000,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.013937,ok,,2025-02-16
1,C,1,1001,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.000267,ok,,2025-02-16
1,C,2,1002,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.017580,ok,,2025-02-16
1,C,3,1003,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.007013,ok,,2025-02-16
1,C,4,1004,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.007798,ok,,2025-02-16
1,C,5,1005,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.012761,ok,,2025-02-16
1,C,6,1006,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.011049,ok,,2025-02-16
1,C,7,1007,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.012308,ok,,2025-02-16
1,C,8,1008,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.010977,ok,,2025-02-16
1,C,9,1009,1233,1000,500,5,500,600,idc,scs,pairwise,10,10,,,,,,cpu,,,,,,,0.013308,ok,,2025-02-16
