table,dgp,rep,seed,theta_seed,n,d,p,m_min,m_max,method,solver,init,S,S_effective,optimizer,lr,lambda,epochs,batch_size,device,n_workers,time_total,time_per_iter,time_per_epoch,init_time,final_loss,mse,status,error,timestamp
1,C,0,1000,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.023517,ok,,2025-02-16
1,C,1,1001,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.016147,ok,,2025-02-16
1,C,2,1002,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.014764,ok,,2025-02-16
1,C,3,1003,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.012883,ok,,2025-02-16
1,C,4,1004,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.018775,ok,,2025-02-16
1,C,5,1005,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.022272,ok,,2025-02-16
1,C,6,1006,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.040371,ok,,2025-02-16
1,C,7,1007,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.022807,ok,,2025-02-16
1,C,8,1008,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.013228,ok,,2025-02-16
1,C,9,1009,1233,1000,1000,5,500,600,idc,scs,pairwise,20,20,,,,,,cpu,,,,,,,0.012237,ok,,2025-02-16
